id,key,value,type
25635396,ref,16,regular
25635396,exit_to,"Sydney Road, Campbellfield",regular
25635396,highway,motorway_junction,regular
26678831,created_by,JOSM,regular
26679162,highway,turning_circle,regular
26795553,created_by,JOSM,regular
26870201,created_by,YahooApplet 1.0,regular
26961562,highway,turning_circle,regular
27170621,highway,turning_circle,regular
27232899,created_by,JOSM,regular
27289472,highway,traffic_signals,regular
27346885,highway,turning_circle,regular
27348576,created_by,YahooApplet 1.0,regular
27378899,created_by,YahooApplet 1.0,regular
27379453,highway,turning_circle,regular
27380114,created_by,YahooApplet 1.0,regular
27381497,highway,turning_circle,regular
27444088,highway,turning_circle,regular
28783298,highway,traffic_signals,regular
29603174,created_by,JOSM,regular
29897700,railway,level_crossing,regular
29901915,ref,18,regular
29901915,highway,motorway_junction,regular
30596855,highway,traffic_signals,regular
30832882,created_by,thermal,regular
30949386,highway,traffic_signals,regular
31114520,created_by,JOSM,regular
31617936,created_by,JOSM,regular
31618889,created_by,JOSM,regular
32122911,source,nearmap,regular
32122911,highway,turning_circle,regular
32315392,name,Jewell,regular
32315392,railway,station,regular
32315392,operator,Public Transport Victoria - Metro,regular
32315392,public_transport,station,regular
33088554,created_by,JOSM,regular
33299113,created_by,JOSM,regular
33475213,created_by,JOSM,regular
33797094,highway,turning_circle,regular
34016626,created_by,JOSM,regular
35630283,ref,11,regular
35630283,highway,motorway_junction,regular
35630283,left,"Keilor, Sunbury, Bendigo",exit_to
35630283,right,"Airport West, Melbourne Airport",exit_to
36411008,created_by,JOSM,regular
36689017,created_by,JOSM,regular
38841927,traffic_calming,bump,regular
41561066,created_by,JOSM,regular
41833653,created_by,JOSM,regular
52315063,created_by,JOSM,regular
53631745,created_by,JOSM,regular
58732768,created_by,JOSM,regular
58765978,created_by,JOSM,regular
58814286,created_by,JOSM,regular
58816698,created_by,JOSM,regular
60570255,is_in,"Australia, Victoria",regular
60570255,country,Australia,is_in
60570255,country_code,AU,is_in
60570255,name,Healesville,regular
60570255,ru,Хилсвилл,name
60570255,place,town,regular
60570255,wikidata,Q1015813,regular
60570255,wikipedia,"en:Healesville, Victoria",regular
60574485,highway,bus_stop,regular
78421746,source,nearmap,regular
78421746,highway,turning_circle,regular
79432536,created_by,JOSM,regular
85296256,created_by,JOSM,regular
94405886,created_by,JOSM,regular
104921292,highway,crossing,regular
104921292,crossing,zebra,regular
114607288,name,Punt Hill Apartment Hotel,regular
114607288,tourism,hotel,regular
114607288,website,www.punthill.com.au,regular
118437475,source,nearmap,regular
118437475,highway,turning_circle,regular
123575543,created_by,JOSM,regular
123577648,created_by,JOSM,regular
127715104,created_by,JOSM,regular
141611173,highway,crossing,regular
147178357,source,nearmap,regular
147178357,highway,turning_circle,regular
150016108,created_by,JOSM,regular
150035809,created_by,JOSM,regular
152218609,highway,turning_circle,regular
169758143,barrier,gate,regular
176913013,created_by,JOSM,regular
188460032,created_by,JOSM,regular
188488378,created_by,JOSM,regular
188554193,created_by,JOSM,regular
188572987,created_by,JOSM,regular
188593205,created_by,JOSM,regular
188628779,created_by,JOSM,regular
188689472,created_by,JOSM,regular
188703059,created_by,JOSM,regular
202443412,created_by,JOSM,regular
202706131,highway,traffic_signals,regular
206048691,traffic_calming,hump,regular
206095414,highway,turning_circle,regular
206204638,created_by,JOSM,regular
214964019,name,Doncaster Inn,regular
214964019,is_in,"Doncaster,Victoria,Australia",regular
214964019,amenity,pub,regular
214964019,postal_code,3108,regular
225073978,amenity,post_box,regular
225073978,created_by,Potlatch 0.6a,regular
225522214,highway,crossing,regular
240469805,amenity,post_box,regular
240469805,created_by,Potlatch 0.6c,regular
244307213,created_by,JOSM,regular
244455164,highway,turning_circle,regular
244590445,created_by,JOSM,regular
244992605,created_by,JOSM,regular
245524465,created_by,JOSM,regular
245526211,created_by,JOSM,regular
246084511,created_by,JOSM,regular
247399634,highway,traffic_signals,regular
247490543,highway,traffic_signals,regular
248216480,created_by,JOSM,regular
250494025,highway,traffic_signals,regular
251143080,created_by,JOSM,regular
251296504,leisure,playground,regular
251296504,created_by,Potlatch 0.7b,regular
252367466,created_by,JOSM,regular
256184750,power,tower,regular
256192042,power,tower,regular
256198477,power,tower,regular
256200770,power,tower,regular
256778172,highway,crossing,regular
256825105,power,tower,regular
256826506,power,tower,regular
256827343,power,tower,regular
256833019,power,tower,regular
256834663,power,tower,regular
256837408,power,tower,regular
256838452,power,tower,regular
256845570,power,tower,regular
256845570,ref,7,regular
256845570,source,mapbox;survey,regular
256863032,power,tower,regular
258024732,highway,turning_circle,regular
258967033,source,nearmap,regular
259142340,highway,turning_circle,regular
259144360,highway,turning_circle,regular
259155837,highway,turning_circle,regular
259155837,note,Truncated due to start of Dingley Bypass works,regular
259161915,highway,turning_circle,regular
259983003,highway,turning_circle,regular
263990695,source,bing,regular
263990695,highway,turning_circle,regular
263991128,highway,turning_circle,regular
266139163,name,Flippin Pancakes,regular
266139163,amenity,restaurant,regular
266139163,website,http://www.flippinpancakes.com.au,regular
266139163,created_by,Potlatch 0.9a,regular
266269273,source,nearmap,regular
266286900,created_by,JOSM,regular
267093823,created_by,JOSM,regular
268181382,highway,traffic_signals,regular
268542585,source,nearmap,regular
270047849,name,Club Hotel Ferntree Gully,regular
270047849,amenity,pub,regular
270047849,opening_hours,10 am til Late,regular
277331712,source,nearmap,regular
277366482,barrier,gate,regular
277847558,highway,turning_circle,regular
278436028,source,nearmap,regular
278436028,highway,turning_circle,regular
281139881,power,tower,regular
281917391,power,tower,regular
282806267,amenity,parking,regular
282806267,created_by,Potlatch 0.10b,regular
283334430,created_by,JOSM,regular
289063860,amenity,drinking_water,regular
289063860,created_by,Potlatch 0.10b,regular
290629510,created_by,JOSM,regular
290906557,highway,traffic_signals,regular
293384662,highway,traffic_signals,regular
295249930,traffic_calming,chicane,regular
298976176,highway,turning_circle,regular
299435081,traffic_calming,chicane,regular
304474448,source,survey,regular
304474448,highway,turning_circle,regular
305317756,name,A Minor Place,regular
305317756,amenity,cafe,regular
305317756,building,yes,regular
305317756,street,Albion Street,addr
305317756,postcode,3056,addr
305317756,opening_hours,Mo-Sa 08:00-17:00; Su 08:30-17:00,regular
305317756,internet_access,wlan,regular
305317756,housenumber,103,addr
305540648,name,Clare Castle Hotel,regular
305540648,phone,+61393478171,regular
305540648,amenity,pub,regular
305540648,website,http://www.theclarecastle.com,regular
305540648,city,Carlton,addr
305540648,street,Rathdowne Street,addr
305540648,postcode,3053,addr
305540648,housenumber,421,addr
307868379,highway,turning_circle,regular
308934540,traffic_calming,hump,regular
309273027,source,nearmap,regular
309572043,highway,turning_circle,regular
309960876,highway,turning_circle,regular
309999539,railway,crossing,regular
310007926,power,tower,regular
310009636,power,tower,regular
310009636,source,nearmap,regular
310501299,traffic_calming,hump,regular
310504795,power,tower,regular
312157945,highway,turning_circle,regular
314753619,amenity,parking,regular
314753619,created_by,Potlatch 0.10f,regular
315688782,highway,crossing,regular
315997768,highway,turning_circle,regular
316393985,highway,turning_circle,regular
316395053,highway,turning_circle,regular
317677567,highway,turning_circle,regular
317699712,created_by,JOSM,regular
319601982,name,Woolworths,regular
319601982,shop,supermarket,regular
319601982,level,2,regular
319601982,website,www.woolworths.com.au,regular
320870128,name,Seamus O'Toole's,regular
320870128,amenity,pub,regular
324851802,barrier,gate,regular
325276537,name,Woolworths,regular
325276537,shop,supermarket,regular
325276537,website,www.woolworths.com.au,regular
328215145,traffic_calming,bump,regular
329191057,created_by,Merkaartor 0.12,regular
329910741,created_by,JOSM,regular
331120551,created_by,JOSM,regular
331120873,created_by,JOSM,regular
331122623,created_by,JOSM,regular
331418318,created_by,JOSM,regular
344018230,highway,turning_circle,regular
344868591,highway,turning_circle,regular
346522901,highway,turning_circle,regular
346534842,highway,turning_circle,regular
346807099,highway,turning_circle,regular
346824379,highway,turning_circle,regular
347138924,highway,turning_circle,regular
347257113,source,nearmap,regular
347257113,highway,turning_circle,regular
349355114,highway,turning_circle,regular
353632965,highway,turning_circle,regular
354226482,highway,turning_circle,regular
354267291,traffic_calming,hump,regular
354283768,highway,turning_circle,regular
354765459,highway,turning_circle,regular
354782892,highway,turning_circle,regular
355256405,highway,turning_circle,regular
355257132,highway,turning_circle,regular
355333778,highway,turning_circle,regular
356263469,source,nearmap,regular
356263469,highway,turning_circle,regular
356264842,source,nearmap,regular
356264842,highway,turning_circle,regular
356265413,highway,turning_circle,regular
358669845,building,yes,regular
358669845,city,Glen Waverley,addr
358669845,state,Victoria,addr
358669845,street,Marbray Drive,addr
358669845,suburb,Glen Waverley,addr
358669845,country,AU,addr
358669845,postcode,3150,addr
358669845,housenumber,2/12,addr
359799393,highway,turning_circle,regular
360123248,highway,turning_circle,regular
360141053,highway,turning_circle,regular
360500206,highway,turning_circle,regular
362210509,name,Eltham Woods Pre-School,regular
362210509,building,kindergarten,regular
362210509,levels,1,building
