id,user,uid,version,changeset,timestamp
4304471,woodpeck_fixbot,147510,4,10327743,2012-01-08T02:42:06Z
4394166,KenS,211804,7,10490800,2012-01-25T06:43:49Z
4407260,woodpeck_fixbot,147510,5,10393736,2012-01-14T23:40:13Z
4471266,Glen,6513,5,29396208,2015-03-11T01:16:23Z
4535344,Vadmium,1795763,8,26452447,2014-10-31T01:17:52Z
4601467,AlexOnTheBus,79475,37,14852976,2013-01-30T21:30:44Z
4648035,AlexOnTheBus,79475,6,19652973,2013-12-26T22:47:13Z
4677338,woodpeck_fixbot,147510,5,10393736,2012-01-15T00:33:59Z
4691757,neilmny,2829158,8,37045261,2016-02-06T17:36:01Z
4704847,woodpeck_fixbot,147510,5,10393736,2012-01-15T00:49:38Z
4716076,woodpeck_fixbot,147510,5,10393736,2012-01-15T00:54:08Z
4716301,woodpeck_fixbot,147510,7,10393736,2012-01-15T00:57:48Z
4717915,woodpeck_fixbot,147510,6,10393736,2012-01-15T01:00:30Z
4718035,Glen,6513,9,28663749,2015-02-06T23:08:09Z
4718148,woodpeck_fixbot,147510,5,10393736,2012-01-15T01:04:59Z
4721867,Leon K,46482,15,29563220,2015-03-18T10:44:40Z
4748263,seth4912,1703414,2,32467922,2015-07-07T10:00:55Z
4749638,nqndwc,714293,5,13022802,2012-09-07T13:58:27Z
4749949,woodpeck_fixbot,147510,4,10393736,2012-01-15T01:21:22Z
4753435,woodpeck_fixbot,147510,6,10393736,2012-01-15T01:26:59Z
4754555,woodpeck_fixbot,147510,4,10393736,2012-01-15T01:29:58Z
4782171,dan3195,1171733,12,14704035,2013-01-19T06:44:46Z
4808364,Plover,98267,7,14932993,2013-02-06T12:37:13Z
4822429,steve91,637652,9,45072820,2017-01-11T10:16:12Z
4865313,woodpeck_fixbot,147510,9,10394257,2012-01-15T02:49:29Z
4868543,woodpeck_fixbot,147510,5,10394257,2012-01-15T02:51:53Z
4882356,Supt_of_Printing,206929,8,48002042,2017-04-21T12:42:31Z
4909719,Glen,6513,3,13625976,2012-10-25T11:06:01Z
4911349,Glen,6513,7,34386168,2015-10-02T10:52:41Z
4923579,woodpeck_fixbot,147510,7,10394257,2012-01-15T03:33:27Z
4941388,matthewsheffield,347944,9,47505552,2017-04-06T12:26:31Z
4965907,Glen,6513,7,38057893,2016-03-25T08:50:33Z
4987165,ash_mcd,2486025,17,50026208,2017-07-04T07:13:00Z
5007940,ashmcd,4320414,10,42816717,2016-10-11T23:56:36Z
5025750,matthewsheffield,347944,8,47505552,2017-04-06T12:26:35Z
5065441,woowoowoo,4702,3,26676797,2014-11-09T22:36:45Z
5085599,woodpeck_fixbot,147510,10,10394551,2012-01-15T04:57:06Z
5110099,Pizza1016,838520,33,43940259,2016-11-25T09:38:50Z
5170264,OSMF Redaction Account,722137,7,12326864,2012-07-19T12:51:41Z
5229742,pringle,472067,7,28692187,2015-02-07T22:00:04Z
5325692,woodpeck_fixbot,147510,4,10394551,2012-01-15T05:38:16Z
5421219,goldfishxyz,168136,12,22265208,2014-05-11T10:58:34Z
5697810,nevw,1293194,59,47997761,2017-04-21T09:57:34Z
5923717,Rosscoe,4467,3,7540135,2011-03-13T01:10:05Z
6262361,Leon K,46482,3,28831250,2015-02-13T21:58:16Z
7921583,swampwallaby,10359,1,506617,2007-09-23T12:29:22Z
7995970,woodpeck_fixbot,147510,9,10394821,2012-01-15T06:44:20Z
8029957,Leon K,46482,17,28787676,2015-02-12T03:53:11Z
8061930,AlexOnTheBus,79475,12,30531788,2015-04-27T09:14:14Z
8103545,Josh Parris,1894085,7,20137626,2014-01-22T09:09:56Z
8103784,Pizza1016,838520,6,42124930,2016-09-13T12:54:08Z
8113391,AlexOnTheBus,79475,3,25042500,2014-08-27T01:18:39Z
8597412,BlueMM,14779,11,518158,2008-07-17T10:34:47Z
8598229,matthewsheffield,347944,8,18513389,2013-10-24T04:30:10Z
8708132,Pizza1016,838520,11,43003503,2016-10-19T09:10:25Z
8737469,Glen,6513,6,506213,2008-07-16T11:35:56Z
8949018,AlexOnTheBus,79475,17,23996630,2014-07-07T04:26:41Z
9105819,mrpulley,67896,17,19990547,2014-01-14T13:24:23Z
9141256,woodpeck_fixbot,147510,7,10395278,2012-01-15T08:16:28Z
