id,key,value,type
4304471,name,Salisbury Court,regular
4304471,highway,residential,regular
4394166,name,Crinan Street,regular
4394166,highway,residential,regular
4407260,name,Naroo Court,regular
4407260,highway,residential,regular
4471266,name,Armiston Grove,regular
4471266,highway,residential,regular
4535344,ref,M1,regular
4535344,name,Monash Freeway,regular
4535344,lanes,4,regular
4535344,layer,1,regular
4535344,bridge,yes,regular
4535344,oneway,yes,regular
4535344,source,nearmap,regular
4535344,bicycle,no,regular
4535344,highway,motorway,regular
4535344,maxspeed,100,regular
4601467,ref,S 23,regular
4601467,name,Clayton Road,regular
4601467,highway,primary,regular
4648035,boat,no,regular
4648035,name,Scotchmans Creek,regular
4648035,waterway,stream,regular
4677338,name,Champion Crescent,regular
4677338,highway,residential,regular
4691757,name,Kurrajong Avenue,regular
4691757,highway,residential,regular
4704847,name,Kemp Street,regular
4704847,lanes,2,regular
4704847,highway,residential,regular
4704847,surface,paved,regular
4716076,name,Brae Court,regular
4716076,highway,residential,regular
4716301,name,Nellie Court,regular
4716301,highway,residential,regular
4717915,name,Harry Street,regular
4717915,highway,residential,regular
4718035,name,Chapman Boulevard,regular
4718035,highway,residential,regular
4718148,name,Jayco Court,regular
4718148,highway,residential,regular
4721867,boundary,political,regular
4748263,aeroway,taxiway,regular
4749638,name,Teck Street,regular
4749638,highway,residential,regular
4749949,name,Delta Avenue,regular
4749949,highway,residential,regular
4753435,name,Morocco Court,regular
4753435,highway,residential,regular
4754555,highway,residential,regular
4782171,ref,S 3,regular
4782171,highway,trunk,regular
4782171,network,S,regular
4782171,surface,asphalt,regular
4782171,junction,roundabout,regular
4782171,maxspeed,60,regular
4808364,name,Ferntree Court,regular
4808364,highway,residential,regular
4808364,maxspeed,50,regular
4822429,highway,residential,regular
4822429,name,High Street Road Service Road,regular
4822429,oneway,yes,regular
4822429,surface,asphalt,regular
4865313,name,Duncan Street,regular
4865313,highway,residential,regular
4868543,name,Mead Court,regular
4868543,highway,residential,regular
4882356,highway,tertiary,regular
4882356,name,Thompsons Road,regular
4909719,highway,service,regular
4911349,name,Ferny Court,regular
4911349,highway,residential,regular
4923579,name,Holmbury Boulevard,regular
4923579,highway,residential,regular
4941388,highway,residential,regular
4941388,lit,yes,regular
4941388,maxspeed,50,regular
4941388,name,Larnoo Avenue,regular
4965907,name,Whitehaven Crescent,regular
4965907,highway,residential,regular
4987165,highway,motorway_link,regular
4987165,lanes,1,regular
4987165,maxspeed,100,regular
4987165,oneway,yes,regular
4987165,surface,asphalt,regular
5007940,ref,S 41,regular
5007940,name,Sunshine Avenue,regular
5007940,lanes,2,regular
5007940,layer,1,regular
5007940,bridge,yes,regular
5007940,oneway,yes,regular
5007940,highway,primary,regular
5007940,network,S,regular
5007940,surface,asphalt,regular
5007940,maxspeed,60,regular
